source,facilitator,network,address,address_role
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0x3f61093f61817b29d9556d3b092e67746af8cdfd,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0x48ab4b0af4ddc2f666a3fcc43666c793889787a3,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0x612d72dc8402bba997c61aa82ce718ea23b2df5d,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0xb578b7db22581507d62bdbeb85e06acd1be09e11,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0xd97c12726dcf994797c981d31cfb243d231189fb,signer
https://facilitator.openx402.ai/supported,facilitator.openx402.ai,eip155:*,0x97316fa4730bc7d3b295234f8e4d04a0a4c093e8,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xc6699d2aada6c36dfea5c248dd70f9cb0235cb63,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xb2bd29925cbbcea7628279c91945ca5b98bf371b,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x25659315106580ce2a787ceec5efb2d347b539c9,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xb8f41cb13b1f213da1e94e1b742ec1323235c48f,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xe575fa51af90957d66fab6d63355f1ed021b887b,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x03a3f7ce8e21e6f8d9fa14c67d8876b2470dc2f1,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x675707bc7d03089f820c1b7d49f7480083e8f4df,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xf46833d4ac4f0f1405cc05c30edfd86770f721c9,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x2daaef6f941de214bf7d6daf322bc6bc7406accb,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x2fae4026a31f19183947f0a6045ef975ebfa9ca8,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xe299c486066739c4a31609e1268d93229632dd47,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x6ccf245c883f9f3c6caee0687aa61daf7bc96e32,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0xaf990eef9846b63d896056050fdc0b28bca9c24b,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x489c40fc3c2a19ad8cb275b7dd6aa194e9219c4f,signer
https://facilitator.payai.network/supported,facilitator.payai.network,eip155:*,0x9df61a719ddae27c20a63a417271cc2c704654bd,signer
https://facilitator.x402endpoints.online/supported,facilitator.x402endpoints.online,eip155:*,0xdcab6a5ddeb65de28bedd218f9be1dbf5011d02c,signer
https://facilitator.x402endpoints.online/supported,facilitator.x402endpoints.online,eip155:*,0x12a2a9353fd1badb2eb9dbe9cb75d73e527d2763,signer
https://gateway.kobaru.io/supported,gateway.kobaru.io,eip155:8453,0x67a3176acd5db920747eef65b813b028ad143cdb,signer
https://gateway.kobaru.io/supported,gateway.kobaru.io,eip155:84532,0x67a3176acd5db920747eef65b813b028ad143cdb,signer
https://gateway.kobaru.io/supported,gateway.kobaru.io,eip155:1187947933,0x67a3176acd5db920747eef65b813b028ad143cdb,signer
https://gateway.kobaru.io/supported,gateway.kobaru.io,eip155:324705682,0x67a3176acd5db920747eef65b813b028ad143cdb,signer
